input_file,output_file,original_rows,raw_duplicate_rows,rejected_rows,canonical_duplicate_rows,cleaned_rows,rejected_ambiguous_stereochemistry,rejected_ambiguous_stereochemistry_after_standardization,rejected_empty_smiles,rejected_explicit_valence_or_property_error,rejected_hydrogen_without_neighbors,rejected_kekulization_error,rejected_parse_error,rejected_standardization_error:AtomValenceException,rejected_standardization_error:KekulizeException,pretraining_overlap_removed_rows
M1_bpe_rds_generated_mol_100000.csv,M1_bpe_rds_generated_mol.csv,99998,949,70381,27,23800,49916,793,1.0,1579,,3655,14437,,,4841
M1_bpe_sfs_generated_mol_100000.csv,M1_bpe_sfs_generated_mol.csv,100032,1310,68383,27,24628,47109,694,1.0,1119,,3319,16141,,,5684
M1_npbpe1000_rds_generated_mol_100000.csv,M1_npbpe1000_rds_generated_mol.csv,100000,1384,71713,26,23274,47769,911,1.0,1746,,5263,16023,,,3603
M1_npbpe1000_sfs_generated_mol_100000.csv,M1_npbpe1000_sfs_generated_mol.csv,100000,1908,69690,48,23826,45429,901,1.0,1616,1.0,4297,17443,2.0,,4528
M1_npbpe100_rds_generated_mol_100000.csv,M1_npbpe100_rds_generated_mol.csv,100000,1074,67887,27,24452,52600,643,1.0,883,,2795,10964,,1.0,6560
M1_npbpe100_sfs_generated_mol_100000.csv,M1_npbpe100_sfs_generated_mol.csv,100000,1185,68525,31,24435,46732,710,1.0,1112,,2813,17157,,,5824
M1_npbpe30k_rds_generated_mol_100000.csv,M1_npbpe30k_rds_generated_mol.csv,100000,2235,77553,28,16090,34152,761,1.0,1181,1.0,4307,37150,,,4094
M1_npbpe30k_sfs_generated_mol_100000.csv,M1_npbpe30k_sfs_generated_mol.csv,100000,2950,76181,42,15652,33034,647,,934,,2939,38627,,,5175
M1_npbpe60_rds_generated_mol_100000.csv,M1_npbpe60_rds_generated_mol.csv,100000,927,70900,24,23309,49221,758,1.0,871,,2857,17192,,,4840
M1_npbpe60_sfs_generated_mol_100000.csv,M1_npbpe60_sfs_generated_mol.csv,100000,1089,67844,43,25456,47922,774,1.0,934,,2976,15237,,,5568
M1_npbpe7924_rds_generated_mol_100000.csv,M1_npbpe7924_rds_generated_mol.csv,100000,2261,69179,26,19212,44505,540,,880,,2411,20843,,,9322
M1_npbpe7924_sfs_generated_mol_100000.csv,M1_npbpe7924_sfs_generated_mol.csv,100000,2358,72755,35,19953,39850,786,1.0,1358,,4022,26738,,,4899
M2_Char_rds_generated_mol_100000.csv,M2_Char_rds_generated_mol.csv,100000,846,68718,29,25307,48839,809,1.0,856,,2567,15645,1.0,,5100
M2_Char_sfs_generated_mol_100000.csv,M2_Char_sfs_generated_mol.csv,100000,1346,68275,35,24351,50468,680,,712,,2034,14380,1.0,,5993
M2_ais_rds_generated_mol_100000.csv,M2_ais_rds_generated_mol.csv,100000,1181,68285,31,26208,49129,822,1.0,548,,2663,15122,,,4295
M2_ais_sfs_generated_mol_100000.csv,M2_ais_sfs_generated_mol.csv,100032,1578,68122,37,25596,47915,780,1.0,491,,2434,16501,,,4699
M2_bpe_rds_generated_mol_100000.csv,M2_bpe_rds_generated_mol.csv,99998,829,71682,27,22715,44622,733,1.0,1373,,3585,21368,,,4745
M2_bpe_sfs_generated_mol_100000.csv,M2_bpe_sfs_generated_mol.csv,100038,1239,67599,41,25038,46425,665,2.0,1315,,3003,16189,,,6121
M2_npbpe1000_rds_generated_mol_100000.csv,M2_npbpe1000_rds_generated_mol.csv,100000,1685,67635,19,22645,47678,609,1.0,1097,,2459,15791,,,8016
M2_npbpe1000_sfs_generated_mol_100000.csv,M2_npbpe1000_sfs_generated_mol.csv,100000,2530,66688,47,22034,44755,574,1.0,1078,,1913,18367,,,8701
M2_npbpe100_rds_generated_mol_100000.csv,M2_npbpe100_rds_generated_mol.csv,100000,997,70975,46,24764,46566,994,1.0,1304,,4263,17847,,,3218
M2_npbpe100_sfs_generated_mol_100000.csv,M2_npbpe100_sfs_generated_mol.csv,100000,1686,67901,49,26267,46648,935,1.0,1362,,3893,15061,,1.0,4097
M2_npbpe30k_rds_generated_mol_100000.csv,M2_npbpe30k_rds_generated_mol.csv,100000,2183,77920,14,15563,34243,690,,1122,,3835,38030,,,4320
M2_npbpe30k_sfs_generated_mol_100000.csv,M2_npbpe30k_sfs_generated_mol.csv,100000,2212,80934,29,13389,27719,678,1.0,1141,1.0,3575,47819,,,3436
M2_npbpe60_rds_generated_mol_100000.csv,M2_npbpe60_rds_generated_mol.csv,100000,1041,67679,30,25597,48933,782,1.0,1170,,2504,14289,,,5653
M2_npbpe60_sfs_generated_mol_100000.csv,M2_npbpe60_sfs_generated_mol.csv,100000,1035,72426,36,23592,45995,966,,1312,,4288,19865,,,2911
M2_npbpe7924_rds_generated_mol_100000.csv,M2_npbpe7924_rds_generated_mol.csv,100000,1639,75339,24,19134,39609,916,1.0,1356,,4862,28595,,,3864
M2_npbpe7924_sfs_generated_mol_100000.csv,M2_npbpe7924_sfs_generated_mol.csv,100000,3161,68893,34,17769,41443,448,1.0,741,,1831,24429,,,10143
